,Carrier,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
13,Southwest,10,4,6,8.58333333333,8.58333333333,9.66666666667,9.75,65.0,70.0,49.0,-5.0,0.0,258,3.0,13.0,0,0,,,,,
14,Southwest,5,31,6,14.9833333333,15.0,15.8333333333,16.0833333333,51.0,65.0,40.0,-15.0,-1.0,239,5.0,6.0,0,0,,,,,
15,Southwest,6,5,4,18.5333333333,18.5,19.6166666667,19.6666666667,65.0,70.0,54.0,-3.0,2.0,220,4.0,7.0,0,0,,,,,
16,Southwest,8,13,3,20.5166666667,20.5833333333,21.7333333333,21.8333333333,73.0,75.0,62.0,-6.0,-4.0,370,6.0,5.0,0,0,,,,,
17,American,9,6,6,14.0666666667,13.8333333333,15.7833333333,15.6666666667,103.0,110.0,83.0,7.0,14.0,595,4.0,16.0,0,0,,,,,
18,Southwest,9,24,3,20.8166666667,20.9166666667,21.8333333333,22.0,61.0,65.0,51.0,-10.0,-6.0,283,5.0,5.0,0,0,,,,,
19,American,6,24,2,11.1333333333,10.75,13.3,12.5833333333,130.0,110.0,90.0,43.0,23.0,595,11.0,29.0,0,0,0.0,0.0,20.0,0.0,23.0
20,American,3,10,1,14.4166666667,14.5,18.5166666667,18.6666666667,126.0,130.0,108.0,-9.0,-5.0,813,7.0,11.0,0,0,,,,,
21,Southwest,8,24,7,18.2833333333,18.3333333333,19.9666666667,20.4166666667,101.0,125.0,93.0,-27.0,-3.0,666,2.0,6.0,0,0,,,,,
22,American,1,25,5,14.3666666667,14.5,17.35,17.5833333333,239.0,245.0,218.0,-14.0,-8.0,1674,4.0,17.0,0,0,,,,,
23,American,4,26,6,8.45,8.5,10.2,10.1666666667,105.0,100.0,81.0,2.0,-3.0,460,15.0,9.0,0,0,,,,,
24,Southwest,1,17,4,19.4,19.4166666667,22.5833333333,22.75,131.0,140.0,113.0,-10.0,-1.0,883,3.0,15.0,0,0,,,,,
25,American,2,11,1,12.15,12.1666666667,16.1666666667,16.6666666667,481.0,510.0,456.0,-30.0,-1.0,3711,5.0,20.0,0,0,,,,,
26,Southwest,3,28,5,12.7166666667,12.6666666667,14.3333333333,14.1666666667,157.0,150.0,142.0,10.0,3.0,895,6.0,9.0,0,0,,,,,
27,Southwest,4,28,1,6.86666666667,6.83333333333,7.36666666667,7.75,150.0,175.0,139.0,-23.0,2.0,1037,4.0,7.0,0,0,,,,,
28,American,4,26,6,15.4,15.4166666667,18.1833333333,18.3333333333,107.0,115.0,84.0,-9.0,-1.0,641,13.0,10.0,0,0,,,,,
29,American,6,28,6,15.4,14.25,18.4,17.3333333333,120.0,125.0,99.0,64.0,69.0,733,6.0,15.0,0,0,13.0,0.0,0.0,0.0,51.0
30,Southwest,11,18,2,20.75,20.75,21.6666666667,21.6666666667,55.0,55.0,41.0,0.0,0.0,248,5.0,9.0,0,0,,,,,
31,Southwest,8,6,3,15.2666666667,14.9166666667,16.4333333333,16.3333333333,130.0,145.0,115.0,6.0,21.0,853,5.0,10.0,0,0,,,,,
32,Southwest,11,15,6,7.1,7.0,8.9,8.75,108.0,105.0,92.0,9.0,6.0,602,6.0,10.0,0,0,,,,,
33,Southwest,1,1,2,16.2833333333,16.1666666667,17.3666666667,17.4166666667,65.0,75.0,52.0,-3.0,7.0,377,4.0,9.0,0,0,,,,,
34,Southwest,1,9,3,6.0,6.0,8.21666666667,8.08333333333,73.0,65.0,51.0,8.0,0.0,307,6.0,16.0,0,0,,,,,
35,Southwest,10,31,5,17.7666666667,17.6666666667,19.3,19.3333333333,92.0,100.0,77.0,-2.0,6.0,543,2.0,13.0,0,0,,,,,
36,Southwest,7,15,2,6.48333333333,6.5,9.2,9.33333333333,163.0,170.0,142.0,-8.0,-1.0,1093,14.0,7.0,0,0,,,,,
37,Southwest,5,12,1,7.73333333333,7.66666666667,9.15,9.08333333333,85.0,85.0,70.0,4.0,4.0,471,4.0,11.0,0,0,,,,,
38,American,6,29,7,1.56666666667,0.166666666667,6.7,5.08333333333,188.0,175.0,162.0,97.0,84.0,1235,6.0,20.0,0,0,84.0,0.0,13.0,0.0,0.0
39,American,11,21,5,21.75,21.0833333333,0.483333333333,23.9833333333,164.0,174.0,144.0,30.0,40.0,1086,7.0,13.0,0,0,30.0,0.0,0.0,0.0,0.0
40,American,2,19,2,18.45,18.5,19.55,19.5833333333,66.0,65.0,43.0,-2.0,-3.0,247,10.0,13.0,0,0,,,,,
41,Southwest,7,30,3,13.5166666667,13.5,13.5666666667,13.6666666667,123.0,130.0,110.0,-6.0,1.0,796,5.0,8.0,0,0,,,,,
42,Southwest,4,16,3,6.15,6.16666666667,7.05,7.16666666667,54.0,60.0,36.0,-7.0,-1.0,197,7.0,11.0,0,0,,,,,
43,Southwest,11,11,2,8.55,8.58333333333,11.4,11.5833333333,231.0,240.0,216.0,-11.0,-2.0,1448,4.0,11.0,0,0,,,,,
44,American,3,12,3,10.3833333333,10.4166666667,10.5166666667,10.75,68.0,80.0,52.0,-14.0,-2.0,235,5.0,11.0,0,0,,,,,
45,Southwest,2,14,4,12.5,12.5,13.6666666667,13.5833333333,70.0,65.0,54.0,5.0,0.0,325,4.0,12.0,0,0,,,,,
46,Southwest,3,5,3,15.1666666667,15.1666666667,16.05,16.25,53.0,65.0,46.0,-12.0,0.0,325,2.0,5.0,0,0,,,,,
47,Southwest,9,24,3,21.45,21.1666666667,0.133333333333,23.9166666667,161.0,165.0,119.0,13.0,17.0,861,2.0,40.0,0,0,,,,,
48,American,7,10,4,6.38333333333,6.0,7.55,7.33333333333,130.0,140.0,113.0,13.0,23.0,733,8.0,9.0,0,0,,,,,
49,American,5,26,1,6.15,6.25,8.11666666667,8.08333333333,178.0,170.0,156.0,2.0,-6.0,1020,3.0,19.0,0,0,,,,,
50,American,12,2,2,15.65,15.6666666667,19.3,19.3333333333,159.0,160.0,137.0,-2.0,-1.0,1121,7.0,15.0,0,0,,,,,
51,Southwest,9,12,5,19.5833333333,19.6666666667,20.6166666667,20.8333333333,62.0,70.0,51.0,-13.0,-5.0,324,3.0,8.0,0,0,,,,,
52,Southwest,2,18,1,17.7666666667,15.8333333333,20.9833333333,18.75,193.0,175.0,153.0,134.0,116.0,951,4.0,36.0,0,0,31.0,0.0,18.0,0.0,85.0
53,American,9,14,7,15.6833333333,15.6666666667,17.1666666667,17.25,149.0,155.0,130.0,-5.0,1.0,888,6.0,13.0,0,0,,,,,
54,American,6,10,2,18.0833333333,17.75,20.3833333333,20.25,138.0,150.0,125.0,8.0,20.0,920,5.0,8.0,0,0,,,,,
55,Southwest,1,1,2,9.73333333333,9.75,16.9333333333,16.75,252.0,240.0,225.0,11.0,-1.0,1825,8.0,19.0,0,0,,,,,
56,Southwest,2,25,1,18.6666666667,18.6666666667,20.0833333333,20.1666666667,85.0,90.0,68.0,-5.0,0.0,446,7.0,10.0,0,0,,,,,
57,Southwest,4,11,5,16.2333333333,15.8333333333,17.3833333333,17.0833333333,69.0,75.0,58.0,18.0,24.0,345,4.0,7.0,0,0,0.0,0.0,0.0,0.0,18.0
58,American,12,29,1,8.08333333333,8.16666666667,12.8666666667,12.9166666667,227.0,225.0,201.0,-3.0,-5.0,1666,13.0,13.0,0,0,,,,,
59,American,10,28,2,16.8166666667,16.8333333333,17.9,17.75,65.0,55.0,38.0,9.0,-1.0,175,7.0,20.0,0,0,,,,,
60,Southwest,11,27,4,8.0,8.0,9.61666666667,9.75,97.0,105.0,87.0,-8.0,0.0,587,3.0,7.0,0,0,,,,,
61,Southwest,12,7,7,10.3833333333,10.3333333333,13.1,13.3333333333,163.0,180.0,136.0,-14.0,3.0,920,3.0,24.0,0,0,,,,,
62,American,2,15,5,,11.8333333333,,13.3333333333,,90.0,,,,403,,,1,0,,,,,
63,Southwest,3,1,6,10.15,10.1666666667,11.3666666667,11.3333333333,73.0,70.0,57.0,2.0,-1.0,258,3.0,13.0,0,0,,,,,
64,American,10,8,3,14.85,14.8333333333,15.8666666667,16.0,181.0,190.0,158.0,-8.0,1.0,1235,8.0,15.0,0,0,,,,,
65,Southwest,6,18,3,19.6833333333,19.5833333333,21.0,21.0,79.0,85.0,64.0,0.0,6.0,373,7.0,8.0,0,0,,,,,
66,American,5,2,5,21.5166666667,20.9166666667,0.833333333333,23.9166666667,199.0,180.0,165.0,55.0,36.0,1194,8.0,26.0,0,0,3.0,0.0,19.0,0.0,33.0
67,American,10,23,4,22.0166666667,22.1666666667,6.16666666667,5.91666666667,309.0,285.0,277.0,15.0,-9.0,2288,8.0,24.0,0,0,0.0,0.0,15.0,0.0,0.0
68,Southwest,2,26,2,6.66666666667,6.66666666667,8.75,8.91666666667,65.0,75.0,52.0,-10.0,0.0,365,3.0,10.0,0,0,,,,,
69,Southwest,4,9,3,21.4166666667,21.5,22.2,22.3333333333,47.0,50.0,34.0,-8.0,-5.0,159,4.0,9.0,0,0,,,,,
70,American,11,9,7,13.5833333333,13.5833333333,15.6666666667,15.8333333333,185.0,195.0,160.0,-10.0,0.0,1121,11.0,14.0,0,0,,,,,
71,American,3,29,6,16.0333333333,15.9166666667,18.6833333333,18.5833333333,99.0,100.0,76.0,6.0,7.0,551,13.0,10.0,0,0,,,,,
72,American,4,14,1,13.8666666667,13.9166666667,15.3333333333,15.5833333333,148.0,160.0,131.0,-15.0,-3.0,867,5.0,12.0,0,0,,,,,
73,Southwest,7,1,2,6.01666666667,6.08333333333,8.33333333333,8.25,139.0,130.0,119.0,5.0,-4.0,787,8.0,12.0,0,0,,,,,
74,Southwest,9,8,1,20.7666666667,20.75,21.7666666667,21.75,60.0,60.0,49.0,1.0,1.0,293,4.0,7.0,0,0,,,,,
75,Southwest,1,22,2,11.65,11.6666666667,12.8833333333,13.0833333333,74.0,85.0,61.0,-12.0,-1.0,417,4.0,9.0,0,0,,,,,
76,Southwest,8,11,1,6.43333333333,6.41666666667,8.9,9.0,148.0,155.0,133.0,-6.0,1.0,1009,6.0,9.0,0,0,,,,,
77,Southwest,9,8,1,6.03333333333,6.0,7.98333333333,8.08333333333,57.0,65.0,44.0,-6.0,2.0,328,3.0,10.0,0,0,,,,,
78,American,8,7,4,9.6,9.66666666667,10.8333333333,10.75,134.0,125.0,105.0,5.0,-4.0,647,6.0,23.0,0,0,,,,,
79,Southwest,7,6,7,22.8666666667,21.3333333333,0.266666666667,22.75,144.0,145.0,125.0,91.0,92.0,880,5.0,14.0,0,0,2.0,0.0,0.0,0.0,89.0
80,Southwest,1,29,2,8.66666666667,8.75,9.78333333333,9.83333333333,127.0,125.0,106.0,-3.0,-5.0,647,4.0,17.0,0,0,,,,,
81,Southwest,3,13,4,20.5666666667,20.6666666667,23.1333333333,23.25,154.0,155.0,145.0,-7.0,-6.0,972,5.0,4.0,0,0,,,,,
82,Southwest,1,30,3,8.68333333333,8.75,8.93333333333,9.0,75.0,75.0,60.0,-4.0,-4.0,325,4.0,11.0,0,0,,,,,
83,Southwest,11,24,1,6.48333333333,6.5,7.76666666667,7.83333333333,77.0,80.0,59.0,-4.0,-1.0,386,6.0,12.0,0,0,,,,,
84,Southwest,7,6,7,6.41666666667,6.5,7.88333333333,8.08333333333,148.0,155.0,134.0,-12.0,-5.0,997,5.0,9.0,0,0,,,,,
85,Southwest,1,16,3,21.2666666667,21.0833333333,23.3333333333,23.0833333333,124.0,120.0,109.0,15.0,11.0,671,5.0,10.0,0,0,0.0,0.0,8.0,0.0,7.0
86,American,6,26,4,9.6,9.66666666667,12.2666666667,12.25,160.0,155.0,143.0,1.0,-4.0,1046,3.0,14.0,0,0,,,,,
87,Southwest,5,13,2,14.4666666667,14.5,15.6833333333,15.9166666667,73.0,85.0,65.0,-14.0,-2.0,377,2.0,6.0,0,0,,,,,
88,American,2,15,5,11.9833333333,11.9166666667,18.2,17.8333333333,253.0,235.0,205.0,22.0,4.0,1797,5.0,43.0,0,0,0.0,0.0,22.0,0.0,0.0
89,American,7,20,7,8.16666666667,7.91666666667,16.55,16.3333333333,323.0,325.0,294.0,13.0,15.0,2446,12.0,17.0,0,0,,,,,
90,Southwest,6,29,7,8.78333333333,8.83333333333,9.9,10.0,67.0,70.0,55.0,-6.0,-3.0,336,3.0,9.0,0,0,,,,,
91,Southwest,6,16,1,7.51666666667,7.5,8.43333333333,8.5,55.0,60.0,41.0,-4.0,1.0,239,7.0,7.0,0,0,,,,,
92,American,4,9,3,,11.8333333333,,15.0,,130.0,,,,719,,,1,0,,,,,
93,Southwest,3,23,7,12.5833333333,12.5833333333,15.0166666667,15.1666666667,86.0,95.0,72.0,-9.0,0.0,546,6.0,8.0,0,0,,,,,
94,Southwest,2,3,7,17.95,18.0,18.9,18.9166666667,57.0,55.0,42.0,-1.0,-3.0,239,4.0,11.0,0,0,,,,,
95,Southwest,3,12,3,6.66666666667,6.66666666667,7.85,7.91666666667,71.0,75.0,57.0,-4.0,0.0,397,7.0,7.0,0,0,,,,,
96,Southwest,9,2,2,19.8166666667,19.8333333333,22.9333333333,23.0833333333,127.0,135.0,117.0,-9.0,-1.0,889,4.0,6.0,0,0,,,,,
97,Southwest,3,30,7,21.8833333333,21.9166666667,22.9833333333,22.9166666667,66.0,60.0,50.0,4.0,-2.0,258,3.0,13.0,0,0,,,,,
98,Southwest,9,21,7,18.8166666667,18.8333333333,19.95,20.1666666667,68.0,80.0,56.0,-13.0,-1.0,337,6.0,6.0,0,0,,,,,
99,Southwest,9,26,5,20.5,20.4166666667,21.5,21.5,60.0,65.0,46.0,0.0,5.0,226,6.0,8.0,0,0,,,,,
100,Southwest,7,23,3,19.0666666667,19.0833333333,20.05,20.25,59.0,70.0,45.0,-12.0,-1.0,256,6.0,8.0,0,0,,,,,
101,Southwest,3,8,6,15.3166666667,13.8333333333,17.8333333333,16.25,151.0,145.0,139.0,95.0,89.0,883,3.0,9.0,0,0,0.0,0.0,6.0,0.0,89.0
102,Southwest,5,14,3,21.15,21.1666666667,22.4833333333,22.5833333333,80.0,85.0,70.0,-6.0,-1.0,479,3.0,7.0,0,0,,,,,
103,Southwest,10,21,2,13.9,13.9166666667,16.1833333333,16.3333333333,197.0,205.0,185.0,-9.0,-1.0,1258,2.0,10.0,0,0,,,,,
104,Southwest,4,12,6,6.48333333333,6.5,7.88333333333,8.41666666667,204.0,235.0,193.0,-32.0,-1.0,1521,4.0,7.0,0,0,,,,,
105,American,6,7,6,15.7333333333,14.75,16.8333333333,15.9833333333,66.0,74.0,44.0,51.0,59.0,258,12.0,10.0,0,0,48.0,0.0,0.0,0.0,3.0
106,American,7,19,6,11.8333333333,11.8333333333,14.7,14.8333333333,112.0,120.0,88.0,-8.0,0.0,641,10.0,14.0,0,0,,,,,
107,Southwest,2,15,5,18.2666666667,18.1666666667,0.916666666667,0.75,219.0,215.0,207.0,10.0,6.0,1624,4.0,8.0,0,0,,,,,
108,Southwest,1,14,1,11.9666666667,11.9166666667,17.8333333333,17.8333333333,232.0,235.0,218.0,0.0,3.0,1750,5.0,9.0,0,0,,,,,
109,American,11,30,7,8.36666666667,8.5,13.4666666667,13.9166666667,186.0,205.0,171.0,-27.0,-8.0,1431,5.0,10.0,0,0,,,,,
110,Southwest,5,31,6,23.9,21.1666666667,0.833333333333,22.8333333333,116.0,160.0,104.0,120.0,164.0,668,5.0,7.0,0,0,0.0,0.0,1.0,0.0,119.0
111,American,7,19,6,15.9833333333,15.6666666667,18.4333333333,18.1666666667,147.0,150.0,124.0,16.0,19.0,1045,7.0,16.0,0,0,0.0,0.0,0.0,0.0,16.0
112,American,8,25,1,5.95,6.0,13.85,14.0833333333,294.0,305.0,272.0,-14.0,-3.0,2342,6.0,16.0,0,0,,,,,
113,American,3,5,3,18.7,18.75,21.8166666667,21.9166666667,187.0,190.0,167.0,-6.0,-3.0,1258,5.0,15.0,0,0,,,,,
114,American,6,14,6,14.4833333333,14.5,18.5,18.5833333333,181.0,185.0,163.0,-5.0,-1.0,1192,3.0,15.0,0,0,,,,,
115,American,1,23,3,21.7,21.4166666667,23.0166666667,22.8333333333,79.0,85.0,59.0,11.0,17.0,337,11.0,9.0,0,0,,,,,
116,Southwest,2,19,2,8.06666666667,8.08333333333,9.43333333333,9.5,82.0,85.0,70.0,-4.0,-1.0,393,5.0,7.0,0,0,,,,,
117,American,12,17,3,18.9166666667,18.8333333333,5.98333333333,6.08333333333,424.0,435.0,404.0,-6.0,5.0,3784,6.0,14.0,0,0,,,,,
118,American,8,16,6,10.9833333333,11.0,13.6666666667,13.8333333333,161.0,170.0,143.0,-10.0,-1.0,950,4.0,14.0,0,0,,,,,
119,American,1,31,4,13.6833333333,13.8333333333,14.3333333333,14.5,39.0,40.0,17.0,-10.0,-9.0,68,2.0,20.0,0,0,,,,,
120,Southwest,6,27,5,7.48333333333,7.5,8.1,8.16666666667,97.0,100.0,85.0,-4.0,-1.0,580,4.0,8.0,0,0,,,,,
121,Southwest,4,28,1,16.9833333333,16.6666666667,17.95,17.5833333333,58.0,55.0,44.0,22.0,19.0,174,3.0,11.0,0,0,5.0,0.0,3.0,0.0,14.0
122,Southwest,8,27,3,9.93333333333,10.0,10.9333333333,11.0,60.0,60.0,47.0,-4.0,-4.0,239,4.0,9.0,0,0,,,,,
123,Southwest,10,6,1,20.8166666667,20.9166666667,22.1,22.1666666667,77.0,75.0,60.0,-4.0,-6.0,369,4.0,13.0,0,0,,,,,
124,Southwest,3,1,6,17.45,17.4166666667,18.8333333333,18.75,83.0,80.0,62.0,5.0,2.0,373,7.0,14.0,0,0,,,,,
125,American,12,27,6,19.4,17.5,20.2666666667,18.5,52.0,60.0,36.0,106.0,114.0,190,4.0,12.0,0,0,13.0,9.0,0.0,0.0,84.0
126,American,5,24,6,7.78333333333,7.75,9.06666666667,9.08333333333,77.0,80.0,64.0,-1.0,2.0,448,2.0,11.0,0,0,,,,,
127,American,5,4,7,7.4,7.5,10.0166666667,10.0833333333,277.0,275.0,260.0,-4.0,-6.0,1846,3.0,14.0,0,0,,,,,
128,Southwest,5,18,7,20.9833333333,21.0833333333,22.1166666667,22.25,68.0,70.0,59.0,-8.0,-6.0,220,2.0,7.0,0,0,,,,,
129,American,7,25,5,15.7,15.75,16.9,16.9166666667,72.0,70.0,46.0,-1.0,-3.0,258,5.0,21.0,0,0,,,,,
130,Southwest,12,30,2,18.6666666667,18.5,19.6833333333,19.5833333333,61.0,65.0,52.0,6.0,10.0,296,3.0,6.0,0,0,,,,,
131,American,2,24,7,12.2,12.25,16.3833333333,16.4166666667,191.0,190.0,168.0,-2.0,-3.0,1302,6.0,17.0,0,0,,,,,
132,Southwest,4,2,3,13.85,13.8333333333,15.25,15.25,84.0,85.0,69.0,0.0,1.0,461,4.0,11.0,0,0,,,,,
133,American,3,26,3,20.0333333333,19.9166666667,20.4166666667,20.25,143.0,140.0,122.0,10.0,7.0,813,2.0,19.0,0,0,,,,,
134,Southwest,11,29,6,14.2833333333,14.1666666667,15.6666666667,15.75,83.0,95.0,74.0,-5.0,7.0,377,2.0,7.0,0,0,,,,,
135,Southwest,5,7,3,12.25,12.25,13.6666666667,13.8333333333,85.0,95.0,78.0,-10.0,0.0,543,3.0,4.0,0,0,,,,,
136,American,7,25,5,9.3,9.25,11.4333333333,11.5,128.0,135.0,113.0,-4.0,3.0,802,5.0,10.0,0,0,,,,,
137,American,2,4,1,9.0,9.0,11.5833333333,11.4166666667,215.0,205.0,185.0,10.0,0.0,1192,8.0,22.0,0,0,,,,,
138,American,11,9,7,15.2166666667,15.25,20.85,21.25,218.0,240.0,195.0,-24.0,-2.0,1726,16.0,7.0,0,0,,,,,
139,Southwest,3,17,1,19.2666666667,19.25,21.1833333333,21.25,115.0,120.0,106.0,-4.0,1.0,671,4.0,5.0,0,0,,,,,
140,Southwest,11,19,3,10.5,10.5833333333,11.4166666667,11.5,55.0,55.0,44.0,-5.0,-5.0,189,4.0,7.0,0,0,,,,,
141,Southwest,7,28,1,19.6166666667,19.6666666667,20.45,20.6666666667,50.0,60.0,41.0,-13.0,-3.0,197,3.0,6.0,0,0,,,,,
142,Southwest,12,29,1,11.3166666667,10.75,12.5166666667,11.75,72.0,60.0,43.0,46.0,34.0,178,23.0,6.0,0,0,12.0,0.0,12.0,0.0,22.0
143,Southwest,8,11,1,7.1,7.08333333333,8.05,8.08333333333,57.0,60.0,45.0,-2.0,1.0,248,3.0,9.0,0,0,,,,,
144,American,5,19,1,16.45,16.0833333333,19.55,19.3333333333,186.0,195.0,161.0,13.0,22.0,1258,8.0,17.0,0,0,,,,,
145,Southwest,11,20,4,16.6166666667,16.6666666667,17.8833333333,17.8333333333,76.0,70.0,45.0,3.0,-3.0,223,1.0,30.0,0,0,,,,,
146,Southwest,7,23,3,9.45,9.41666666667,14.5666666667,14.5,187.0,185.0,167.0,4.0,2.0,1295,5.0,15.0,0,0,,,,,
147,American,1,27,7,11.95,12.0,14.3833333333,13.8333333333,206.0,170.0,147.0,33.0,-3.0,929,10.0,49.0,0,0,0.0,0.0,33.0,0.0,0.0
148,Southwest,7,31,4,13.1,13.0,14.9,15.0833333333,108.0,125.0,97.0,-11.0,6.0,687,4.0,7.0,0,0,,,,,
149,American,3,13,4,13.9,13.5833333333,16.9166666667,16.4166666667,361.0,350.0,334.0,30.0,19.0,2342,13.0,14.0,0,0,14.0,0.0,11.0,0.0,5.0
150,Southwest,6,22,7,8.83333333333,8.66666666667,11.2,11.1666666667,142.0,150.0,132.0,2.0,10.0,937,3.0,7.0,0,0,,,,,
151,Southwest,8,12,2,14.3166666667,14.3333333333,17.2333333333,17.4166666667,115.0,125.0,98.0,-11.0,-1.0,777,4.0,13.0,0,0,,,,,
152,American,3,13,4,15.9,15.9166666667,18.7166666667,18.8333333333,169.0,175.0,151.0,-7.0,-1.0,1045,4.0,14.0,0,0,,,,,
153,Southwest,3,30,7,20.9666666667,19.5833333333,22.2666666667,20.9166666667,78.0,80.0,59.0,81.0,83.0,395,6.0,13.0,0,0,0.0,0.0,0.0,0.0,81.0
154,American,3,27,4,19.9666666667,19.4166666667,22.55,22.0,155.0,155.0,116.0,33.0,33.0,761,7.0,32.0,0,0,0.0,0.0,5.0,0.0,28.0
155,American,9,15,1,17.0666666667,17.0833333333,18.8833333333,18.9166666667,169.0,170.0,151.0,-2.0,-1.0,1062,7.0,11.0,0,0,,,,,
156,American,7,5,6,8.16666666667,8.25,9.33333333333,9.48333333333,70.0,74.0,53.0,-9.0,-5.0,334,4.0,13.0,0,0,,,,,
157,American,5,13,2,6.0,6.0,11.2,11.0,192.0,180.0,158.0,12.0,0.0,1235,10.0,24.0,0,0,,,,,
158,Southwest,11,15,6,8.05,8.16666666667,10.4666666667,10.75,145.0,155.0,120.0,-17.0,-7.0,742,5.0,20.0,0,0,,,,,
159,Southwest,6,23,1,14.1166666667,14.0,15.2833333333,15.1666666667,70.0,70.0,54.0,7.0,7.0,325,4.0,12.0,0,0,,,,,
160,Southwest,9,19,5,20.8166666667,20.5,21.9166666667,21.8333333333,66.0,80.0,43.0,5.0,19.0,267,10.0,13.0,0,0,,,,,
161,American,12,1,1,19.7,18.0833333333,22.6333333333,20.8333333333,296.0,285.0,258.0,108.0,97.0,1829,11.0,27.0,0,0,0.0,26.0,45.0,0.0,37.0
162,American,1,27,7,10.9166666667,10.1666666667,14.1,12.9166666667,311.0,285.0,275.0,71.0,45.0,1846,4.0,32.0,0,0,0.0,0.0,71.0,0.0,0.0
163,Southwest,2,3,7,20.95,20.5,22.3666666667,22.0,85.0,90.0,71.0,22.0,27.0,444,5.0,9.0,0,0,0.0,0.0,0.0,0.0,22.0
164,American,6,15,7,16.8833333333,15.8333333333,21.6166666667,20.0833333333,164.0,135.0,112.0,92.0,63.0,813,29.0,23.0,0,0,0.0,0.0,29.0,0.0,63.0
165,American,3,25,2,17.0,15.0,17.9333333333,16.1666666667,56.0,70.0,44.0,106.0,120.0,258,3.0,9.0,0,0,0.0,0.0,0.0,0.0,106.0
166,Southwest,6,13,5,16.8,15.4166666667,19.6666666667,18.1666666667,172.0,165.0,159.0,90.0,83.0,937,5.0,8.0,0,0,0.0,0.0,7.0,0.0,83.0
167,American,8,31,7,9.55,9.66666666667,11.2333333333,11.3333333333,161.0,160.0,135.0,-6.0,-7.0,1046,5.0,21.0,0,0,,,,,
168,American,12,9,2,7.75,7.83333333333,9.33333333333,9.5,155.0,160.0,138.0,-10.0,-5.0,733,7.0,10.0,0,0,,,,,
169,American,10,30,4,17.1166666667,16.25,19.25,18.6666666667,188.0,205.0,161.0,35.0,52.0,1217,12.0,15.0,0,0,32.0,0.0,0.0,0.0,3.0
170,Southwest,3,14,5,14.0166666667,14.0,15.1833333333,15.25,70.0,75.0,43.0,-4.0,1.0,238,5.0,22.0,0,0,,,,,
171,American,6,11,3,12.4666666667,12.5,13.8833333333,14.0333333333,145.0,152.0,116.0,-9.0,-2.0,733,10.0,19.0,0,0,,,,,
172,American,3,28,5,6.55,6.5,10.65,10.5,186.0,180.0,167.0,9.0,3.0,1182,5.0,14.0,0,0,,,,,
173,American,9,11,4,14.4166666667,14.4166666667,17.7166666667,17.75,138.0,140.0,116.0,-2.0,0.0,919,6.0,16.0,0,0,,,,,
174,Southwest,1,31,4,12.1833333333,12.1666666667,13.3833333333,13.3333333333,72.0,70.0,61.0,3.0,1.0,333,3.0,8.0,0,0,,,,,
